VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
"Emails can lack de-personalised, therefore the flavour of communication is sometimes lost. It is very easy in an email to antagonise the recipient. <br/>The sheer volume of emails, can be demoralising. A problem that is exacerbated by allowing work email accounts onto hand held mobile devices. I find I will check my work emails at several junctures during an evening, at the weekend etc.",9,"Accuracy of detail, in terms of a detailed and complex message being conveyed.<br/>Speed & ease of communication to all parties involved i.e. distance, communication group size etc.",1,9,1,9, ,180,60,60,1,2,1,I am sensitive to the emailed audience,88,2,20,"Email is not read/responded too, requires more direct action<br/>Email needs to be phrased delicately, when personal interaction would be easier",5, ,2, ,4, ,6,7,8,9, ,"I quite regularly receive the same email from two senior managers, who do not check with each other who has sent what. It is frustrating and time waste.",9,7,8,8,9.5,4,8.5,9,5,8.5,9.5,6,8,7.5,9,4,2,4.3,5,9,2,2, , , ,yes,1,0,improved literacy levels,2,"as above, technological awareness",10,"One of mutual respect, that adheres to professional standards",6, ,2,2,55,4,1,2,"I am aware of style and presentation of an email, i.e. to greet, non usage of capital letters etc. I am also aware to avoid large group emails within such a large organisation, which can clog the system.<br/>I am mindful of the audience, not to use email inappropriately.",6,1
You get many emails that people just copy you in for the sake of it. People attach files which should be shared not emailed clogging up the system.,3,"Record of sending and receiving information, quick reference for passing info.",2,1,3,3,2,60,10,10,1,5,1,I do not send it to people who do not need the information.,1,2,40,Reading an entire email to find out that you were copied in 'for info',2, , , , ,5,6,7,8,9, ,Staff avoiding contact to say they are off.,5,6,9,10,3, , ,10, ,10,5.7,7.3,10,10,3.2, , ,8, ,10,10,2, , , ,"Yes, more information and advertising.",3,2,Trained to understand the inpack of receiving too many emails.,2,Mobile access not available.,3, ,99, ,17,2,55,4,1,1,Consideration of how and what is written.,6,1
 ,99, ,99,1,1,1,1,25, , ,2,50,2, ,99,1, , ,99, , , , , , , , , ,10, ,99, ,10,9,9.6, ,2.9,5.5,9.1,5.2,10,6.1,9.1,9.1,7.9,8.1,7.9,5.8,7.3,8.6,9,2, , , ,yes,1,0,dont know,99,no,99, ,99, ,17,4,24,4,1,3,none,99,0
The tone of the request can sometimes be lost over email and so short emails can sometimes come across as abrupt.<br/>Relying on SPAM filters and it systems to ensure delivery.<br/>It is all too easy to delete messages or to say you haven't recieved them when this might not be the case,11,You have timely written confirmation of actions<br/>They are a record of 'converstions' between colleagues,2,3,1,3,2,180,30,25,2,98,1,I am conscious to ensure that the emails are read in the same way as my intention when i write them.  I don;t wish to come across as difficult or rude,5,2,10,"When you are trying to get someone to answer a query and they ask you to write it in an email and then don't respond, or when you ask a question over email and the other person doesn't provide a clear answer so you have to send another email clarifying again what it is you want",5, , , , ,5,6,7, , , ,Sent by the sender to avoid face to face contact - usually there is a problem and people can use email to pass the buck,5,9,10,7.6,10,1,3,9,8,10,5,9,10,8,10,5,5,8.3,8.2,10,10,2, , , ,Yes,1,0,Yes but it depends on the nature of the work - not everyone is based at a computer all the time,1,SPAM filters which don't allow the person to add safe addresses to them in the first instance,5,Once which means that both parties can work to full potential using information from the other,2, ,17,3,3,2,2,2,Emails are monitored and SPAM reports are sent on a daily basis.  Occasionally emails from exam boards can be trapped in the SPAM filters and we need to wait till the next day before we can retrieve them,2,1
Time consuming both to read and write unless kept to short strap lines.,2,"Clear communication that can be printed to support both your own actions and those of others when carrying out work and giving instructions. Most useful in the case of legal challenges,",2,3,1,4,2,90,50,150,1,2,1,Yes emails can be printed out as evidence of actions you may or may not have taken and a record of your opinion,5,2,60,Answering emails when perhaps they should just be ignored,9, , ,3, , ,6,7, , , ,Bullying in this instance asking you to complete something that you don't wish to or disagree with undertaking but your line managers and more senior managers are copied in making them aware.,3,1.7,1.7,8.4,5,1.6,1.5,8.9,2.1,10, ,1.2,1.7,9.2,3.8,4.4,3.7, , ,9.9,1.8,2, , , ,yes,1,0,no,0,no,99,Easy communication between parties,2, ,17,2,55,5,1,1, ,99,0
"employers reading your e-mails , and the danger of unintentional libel",11,Clearly states your position,1,4,1,5,2,122,20,20,1,7,1, ,99,1, , ,99,1,2, ,4,5,6, ,8,9, ,opting out of a face to face confromtation,5,8.4,2.3,8.5,2.2,8.2,8,5.2,6.8,8.2,7.5,7.1,7.9,6.7,3.2,7.3,4.7,7.1,3.5,9.6,7,2, , , ,yes,1,0,cut the junk out,4,no,99,open and honest communication,2, ,17,1,55,5,1,1,none,99,0
time and access to computers if in work,8,"quick, economical and can be accessed if you have internet at home",1,4,1,4,2,30,30,25,1,2,2, ,99,2,20,emails that are not for me and from management who are too lazy to individually send to relevant people.<br/>generic emails and junk emails,2,1, , , ,5,6, ,8,9, ,certain PA's just forwarding rather than buffering the content,8,4.5,6,5.2,8,9,8,6.5,7.5,4,5.6,6.3,2.3,5.5,3.2,5.6,5,5,5.1,5,5,1,1,2,4,yes even students use it rather than telephoning in.,3,7,simpler format<br/>,3,gmail is difficult to manage,3,"face to face contact, group meetings weekly<br/>",2, ,17,4,51,3,2,1,"corresponding to students, outside links",99,0
"Time consuming to get answers (telephone, if you manage to get the person you are looking for can get answers straight away). <br/>",2,"Get answers to queries in writing, can use as evidence, as opposed to a phone conversation which someone can deny.",2,2,1,3,2,90,30,40,2,97,1,"If I know that the person is overwhelmed, I try to leave off the email if need be.",1,2,20,"Sometimes it takes me a long time to compose an email, thinking about what words to use, whereas if I was on the phone or face to face I could explain what I want easier.",4, , , , ,5,6,7,8, , ,"Quite often get emails that are not relevant to me or my job, but have to deal with it / or pass it on to the correct person.",8,7,8,8,8,9,9,9,9,9,8,9,9,8,8,8,9,9,9,9,8,2, , , ,"I think it will plateau, and reach saturation point. With spam we are close to that now.",4,11,Targeted email to the correct person rather than lots of general emails.,1,FInding addresses of external people I wish to communicate with,3,"Friendly, someone you can have a constructive conversation with",4, ,17,3,2,3,1,1,"Always take care of what you email, never email anything inappropriate.",6,1
"Emails can appear impersonal; the nature of the content of the email may not be in question, however the tone may be mis-interpreted. A hastily written email may appear impersonal, aggressive or rude if read in such a way, even if that is not the intention.<br/>People can ignore",11,"Time saving, send an email to a number people instead of individual persons",1,2,3,7,2,180,50,50,1,97,1,I mainly communicate with staff who are of more seniority to myself,88,2, , ,99, ,2, , ,5,6,7,8,9, , ,99,8,4,6,8,7,7,7,8,9,8,8,4,8,8.5,8,7,8.5,7.5,8.5,7.5,2, , , ,Yes,1,0,Training if required,2,None,99,"Communication, common sense, understanding",2, ,17,3,6,2,1,2,spam emails - some that are held back are genuine emails for work use.,6,1
Nothing,99,Speed of response.,6,2,1,2,2,20,10,10,2,50,2, ,99,1, , ,99, , , , , , , ,8, , ,General information sent out targeting everyone.,8,6.6,6.1,6.4,6,4.1,5.9,7.5,5.5,7.1,5.1,4.2,5.2,6.6,6.1,5.7,5.7,6.8,6.7,5.5,6.6,2, , , ,Yes,1,0, ,0, ,99, ,99, ,17,4,88,4,1,2, ,99,0
information in the email not clearly laid out also people do not include phone numbers so can involve a lot of confusion when trying to answer queries.  I do not feel that people read emails fully before giving a response.  Emails very addictive as soon as you hear the 'bleep bleep' you want to find out what the email is about and this does disrupt your daily activities,11,Speed<br/>Everyone can be included <br/>Easy to send attachements and scanned documents,1,3,1,3,2,120,15,20,2,97,1,"deal with variety of people, young people, mums, dads, employers, training providers, goverment departments",88,2,10,non work related emails,2, , , , , ,6,7,8,9, ,Continually receive information from the Student Union even though I have replied/phoned to request removed from their lists,8,7.8,8.3,10,9.7,5.7,5,5,5,6.2,9.7,8,8.2,9.8,8.2,8.2,5.6,6.9,8.4,8.2,8.6,2, ,2, ,yes I find that colleagues you work with on a daily basis send emails rather than phoning.  You are always being asked for your email address when attending meetings in order that minutes etc can be sent out,3,7,"Think before sending an email also read over the email to ensure that the information is correct and sounds coherant.  When responding to emails, include all original recipients it was sent to ensuring everyone is aware of what is happenting",1,<br/>If privacy was an issue then I wouldn't use email,99,"Being friendy,open,having a reputation to give an honest answer.  Always replying to an email/phone call",4, ,17,3,8,5,2,1,Will not provide references unless I have a signed consent form from the former student,99,0
Not every one picks up their e mails daily if they do not have access to the pc,8,Quick way to communicate,1,2,1,2,2,30,20,12,2,50,1, ,99,1, , ,99, , , , , , , , , ,10, ,99,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2, , , ,Yes,1,0,Not Sure,99,No,99,Keeping up to date,99, ,17,3,99,5,2,1, ,99,0
"Mae pobol yn anfon e-byst sy'n cynwys tasgiau mae'n rhaid i chi ei cwbwlhau. Mae hyn yn golygu fod llawer iawn o waith gyda chi i'w wneud. Mae nhw yn parhau i anfon y gwaith yma i chi yn ystod y gwiliau, pan rydych chi i fod yn cael orffwys. Felly pan rydych yn dychwelyd mae yna ol-groniad o waith i'w cwbwlhau.",1,Mae'n hawdd gadael neges i rhywun nad ydych yn gallu cael gafael arnynt; ac hefyd mae ganddoch cofnod o unrhyw negeseuon.,4,4,1,4,2,120,3,3,1,7,1,Mae'n hawdd cyfleu ystyr ffug os camddehonglir ebost gan y derbynnydd.,5,1,50,Mae derbyn llawer o waith ychwanegol trwy ebost yn fy atal rhag cyflawnu'r tasgiau rydw i eisioes wedi eu bwriadu gwneud ar ddydd & amser penodedig.,2, , , , ,5, , ,8, , ,Mae'n haws rhoi mwy a fwy o waith i rhywun os nad oes cyfle ganddynt i esbonio wyneb yn wyneb ei fod nhw eisioes yn brysur iawn.,5,7, ,5,10,6,10,10,4,10,10,10,10,10,10,10,10,10,10,10,10,2, , , ,Ydw.,1,0,Atal ebyst sydd yn gofyn i'r derbynydd cwbwlhau gwaith ychwanegol.,1,Parodrwydd yr anfonydd i dilyn y canllaw uchod - sef peidio a anfon gwaith ychwanegol drwy ebost.,7, ,99, ,17,4,21,3,1,4,Nid wyf yn ymwybodol o'r polisi - felly dim dylanwad o gwbwl.,99,0
none,99,"quicker, free, less hastle",1,1,3,2,2,25,11,11,2,98,1,mainly replying to emails ive had,1,1, , ,99,1, , , ,5,6, ,8, , ,"i hate those stupid ""funny"" emails that have innapropriate jokes or images and often ask you to forward on to others.",1,4.8,5.1,6.3,6.1,6.5,5.3,5.9,5.7,5.5,5,6.1,4.9,4.7,6.3,5.7,7.1,5,4.3,6.7,4.9,2, ,1, ,yes,1,0,no,0,no,99,trust,3, ,17,3,2,4,1,3,i archive my old messages to reduce storage overhead on the server,1,1
You do not speak to the people concerned,4,It is one way of gettting information immediately to people,1,1,1,2,2,61,10,10,2,98,1, ,99,2,5,reading joke emails,2, , , , , ,6, ,8,9, ,Personnel not taking enough time to consider who should receive the email in question,8,2.1,2.1,5.3,4.4,7,5.7,7.2,5.5,5.4,3.8,8.1,8,9,7.5,7.3,7.2,8.3,8.5,6.5,5.4,2, ,1, ,Yes,1,0,consider whether you need to send an email or pick up the phone and talk to the person concerned.,7, ,99, ,99, ,17,3,2,6,2,3,Will not provide any personnal information,7,1
none,99,documented evidence of dicussions and decisions.,2,1,3,2,1,20,5,10,2,50,2,it for their own knowledge,3,1, , ,99, , , , ,5,6,7, , , ,emails sent out officially to external bodies contain embarrassing typos which makes the department look poor.,6, ,5,7,5,8,6,6,7,6,6,6,6,5,5,6,6,5,6,4,8,2, , , , ,6,0, ,0, ,99, ,99, ,17,2,55,3,1,1, ,99,0
- too convenient<br/>- too easy/tempting to widen the circulation beyond those recipients to whom the subject matter is relevant<br/>- can be impersonal i.e. removes face to face contact,3,- very convenient<br/>- easy access to a wide circulation of contacts<br/>- avoids the need for tracking down individuals<br/>- quick and easy to complete,1,2,3,4,2,90,15,25,1,5,1,At least I try to,88,2,5,Deleting e-mails of no relevance or interest to me,2, , , , ,5,6, ,8, , ,Many curriculum related e-mails are sent to the College as a whole rather than to the lecturing staff to whom they are aimed.,8,2,7,10,8, ,7,10,8,10,10, ,7,10,8,7, ,10,8,10,10,2, , , ,Yes,1,0,By addressing the question relating to whether the recipient needs to be included in the circulation.,1,Restirctions on the size of files contained in attachments can be very frustrating - although it is understandable why this needs to be controlled.,6,One that encourages a working environment based on mutual trust and respect.,6, ,17,1,55,4,1,1,We have resticted the use of the College-wide circulation list which has reduced the number of irrelevant e-mails that used to be sent......although they do still exist.,5,1
